model,price,mileage,transmission
Used 2016 Ford Mustang GT,32090,16869,Manual
Used 2016 Ford Mustang GT Premium,32894,3098,NA
Used 2016 Ford Mustang GT Premium,32988,6788,Automatic
Used 2016 Ford Mustang GT Coupe,32990,13049,Automatic
Used 2016 Ford Mustang GT,33000,8986,NA
Certified 2016 Ford Mustang GT Premium,33550,16943,Automatic
Used 2016 Ford Mustang GT Coupe,34777,14671,6-Speed Automatic
Used 2016 Ford Mustang GT Premium,35000,14303,NA
Used 2016 Ford Mustang GT Premium,35051,9143,6-Speed Manual
Used 2016 Ford Mustang GT,35577,10697,Manual
Used 2016 Ford Mustang Coupe,16853,33474,NA
Used 2016 Ford Mustang GT Coupe,36995,1782,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,45962,12242,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,46444,11352,6-Speed Manual
Used 2016 Ford Mustang GT,29977,22538,NA
Used 2016 Ford Mustang Shelby GT350 Coupe,46994,4818,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,47500,15344,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,47999,4231,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,48500,17283,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,48500,3357,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,48644,8099,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,48900,7474,6-Speed Manual
Used 2016 Ford Mustang Coupe,16797,30132,NA
Used 2016 Ford Mustang GT Premium,48998,17407,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,49200,10366,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,49481,3618,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,49497,8957,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,49980,5318,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,49995,5549,6-Speed Manual
Used 2016 Ford Mustang GT Coupe,49999,9300,Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,51478,7845,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,51499,10656,6-Speed Manual
Used 2016 Ford Mustang GT Premium,52400,1840,NA
Used 2016 Ford Mustang Shelby GT350 Coupe,52998,4402,6-Speed Manual
Used 2016 Ford Mustang GT Coupe,53881,699,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,53980,1055,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,54888,23,6-Speed Manual
Used 2016 Ford Mustang Shelby GT350 Coupe,55990,174,6-Speed Manual
Used 2016 Ford Mustang Coupe,16853,33474,NA
Used 2016 Ford Mustang Shelby GT350R,67800,2551,6-Speed Manual
Used 2016 Ford Mustang Coupe,16601,25870,Manual
Used 2016 Ford Mustang Coupe,17885,20013,6-Speed Shiftable Automatic
Used 2016 Ford Mustang GT,29977,22538,NA
Used 2016 Ford Mustang Coupe,17944,21221,NA
Used 2016 Ford Mustang Coupe,17995,27213,6-Speed Manual
Used 2016 Ford Mustang Coupe,18413,21171,Manual
Used 2016 Ford Mustang Coupe,18488,25674,6-Speed Manual
Certified 2016 Ford Mustang Coupe,18489,21710,6-Speed Shiftable Automatic
Used 2016 Ford Mustang Coupe,18525,27620,Automatic
Used 2016 Ford Mustang Coupe,18806,24523,Automatic
Used 2016 Ford Mustang Coupe,16797,30132,NA
Used 2016 Ford Mustang Coupe,18851,29271,6-Speed Automatic
Certified 2016 Ford Mustang Coupe,18877,20303,Automatic
Certified 2016 Ford Mustang Coupe,18995,26874,6-Speed Shiftable Automatic
Used 2016 Ford Mustang Coupe,19422,21708,Manual
